"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"199","","Javorius Allen","BAL","RB62","10","102","282","185.9","37.5","204.0","+5.0"
"200","","Quincy Enunwa","NYJ","WR71","11","125","239","184.6","30.7","249.0","+49.0"
"201","","Danny Amendola","MIA","WR72","11","99","243","185.2","30.9","186.0","-15.0"
"202","","Chicago (CHI)","","DST10","5","117","262","191.2","29.8","182.0","-20.0"
"203","","New England (NE)","","DST11","11","107","238","184.8","23.0","175.0","-28.0"
"204","","Donte Moncrief","JAC","WR73","9","80","251","187.9","34.6","237.0","+33.0"
"205","","Antonio Gates","LAC","TE26","8","110","271","192.1","45.0","196.0","-9.0"
"206","","T.J. Yeldon","JAC","RB63","9","105","238","184.1","32.2","211.0","+5.0"
"207","","Seattle (SEA)","","DST12","7","112","262","192.6","34.5","228.0","+21.0"
"208","","Geronimo Allison","GB","WR74","7","91","263","183.4","34.9","200.0","-8.0"
"209","","Pittsburgh (PIT)","","DST13","7","108","236","190.4","24.5","187.0","-22.0"
"210","","Carolina (CAR)","","DST14","4","110","243","189.5","23.2","192.0","-18.0"
"211","","Hayden Hurst","BAL","TE27","10","124","272","191.7","37.0","231.0","+20.0"
"212","","Matt Prater","DET","K6","6","116","240","196.9","27.6","223.0","+11.0"
"213","","Jake Elliott","PHI","K7","9","113","239","198.1","29.1","194.0","-19.0"
"214","","Chris Ivory","BUF","RB64","11","115","244","190.7","30.4","232.0","+18.0"
"215","","Kenneth Dixon","BAL","RB65","10","98","281","198.5","39.6","248.0","+33.0"
"216","","Ryan Grant","IND","WR75","9","113","271","196.2","34.3","299.0","+83.0"
"217","","Chris Boswell","PIT","K8","7","118","234","200.9","26.9","181.0","-36.0"
"218","","Atlanta (ATL)","","DST15","8","111","288","203.1","31.3","227.0","+9.0"
"219","","Taywan Taylor","TEN","WR76","8","136","255","199.1","32.8","246.0","+27.0"
"220","","Spencer Ware","KC","RB66","12","141","256","200.2","28.5","219.0","-1.0"
"221","","Jeremy Hill","NE","RB67","11","123","296","213.2","44.5","243.0","+22.0"
"222","","Courtland Sutton","DEN","WR77","10","150","254","200.3","26.3","198.0","-24.0"
"223","","Robert Kelley","WAS","RB68","4","126","291","207.0","41.1","218.0","-5.0"
"224","","Harrison Butker","KC","K9","12","115","268","206.0","29.1","185.0","-39.0"
"225","","Kansas City (KC)","","DST16","12","120","274","205.8","32.1","222.0","-3.0"
"226","","Arizona (ARI)","","DST17","9","121","249","204.1","30.1","209.0","-17.0"
"227","","Martavis Bryant","FA","WR78","","109","250","195.1","36.7","197.0","-30.0"
"228","","Dan Bailey","FA","K10","","123","286","206.3","40.4","273.0","+45.0"
"229","","James Washington","PIT","WR79","7","106","272","205.6","33.8","239.0","+10.0"
"230","","Cole Beasley","DAL","WR80","8","114","268","203.8","33.2","253.0","+23.0"
"231","","Mason Crosby","GB","K11","7","122","247","210.1","28.3","215.0","-16.0"
"232","","Corey Coleman","FA","WR81","","111","280","199.6","45.8","279.0","+47.0"
"233","","Brandon Marshall","SEA","WR82","7","137","254","204.3","31.1","265.0","+32.0"
"234","","Kalen Ballage","MIA","RB69","11","132","284","213.4","40.0","238.0","+4.0"
"235","","Tre'Quan Smith","NO","WR83","6","118","370","222.1","58.9","252.0","+17.0"
"236","","Joe Flacco","BAL","QB29","10","142","262","211.6","29.4","240.0","+4.0"
"237","","Graham Gano","CAR","K12","4","128","279","220.4","33.8","233.0","-4.0"
"238","","Robbie Gould","SF","K13","11","125","253","214.2","30.8","212.0","-26.0"
"239","","Darren Sproles","PHI","RB70","9","139","244","211.3","29.1","251.0","+12.0"
"240","","Brandon McManus","DEN","K14","10","140","281","230.8","44.4","234.0","-6.0"
"241","","Green Bay (GB)","","DST18","7","131","300","228.4","37.7","260.0","+19.0"
"242","","Luke Willson","DET","TE28","6","119","275","213.1","35.2","324.0","+82.0"
"243","","James Conner","PIT","RB71","7","145","319","237.9","51.4","174.0","-69.0"
"244","","Sam Bradford","ARI","QB30","9","161","274","219.1","33.8","268.0","+24.0"
"245","","Ryan Succop","TEN","K15","8","129","292","231.1","38.5","247.0","+2.0"
"246","","Terrance Williams","DAL","WR84","8","146","266","216.2","31.5","241.0","-5.0"
"247","","Gerald Everett","LAR","TE29","12","126","283","230.7","44.0","343.0","+96.0"
"248","","Wayne Gallman","NYG","RB72","9","125","282","215.5","35.0","306.0","+58.0"
"249","","Cincinnati (CIN)","","DST19","9","134","289","231.4","35.4","298.0","+49.0"
"250","","New York (NYG)","","DST20","9","135","301","232.3","40.5","291.0","+41.0"
"251","","Jake Butt","DEN","TE30","10","127","283","226.0","38.6","274.0","+23.0"
"252","","Phillip Dorsett","NE","WR85","11","126","270","214.3","42.7","256.0","+4.0"
"253","","Sam Darnold","NYJ","QB31","11","166","298","223.4","34.7","261.0","+8.0"
"254","","Antonio Callaway","CLE","WR86","11","92","335","231.6","53.6","287.0","+33.0"
"255","","Detroit (DET)","","DST21","6","147","303","250.3","51.2","244.0","-11.0"
"256","","Dante Pettis","SF","WR87","11","109","261","218.4","32.0","275.0","+19.0"
"257","","Tennessee (TEN)","","DST22","8","132","265","226.8","34.8","224.0","-33.0"
"258","","Albert Wilson","MIA","WR88","11","160","260","223.3","30.3","282.0","+24.0"
"259","","Buffalo (BUF)","","DST23","11","146","322","258.5","50.3","286.0","+27.0"
"260","","Terrelle Pryor","NYJ","WR89","11","149","272","219.2","29.4","259.0","-1.0"
"261","","Jermaine Kearse","NYJ","WR90","11","174","271","216.0","24.5","276.0","+15.0"
"262","","Kai Forbath","FA","K16","","144","321","233.8","52.1","277.0","+15.0"
"263","","Willie Snead","BAL","WR91","10","132","280","234.1","32.2","314.0","+51.0"
"264","","Daniel Carlson","MIN","K17","10","141","360","244.3","48.0","217.0","-47.0"
"265","","Tyler Kroft","CIN","TE31","9","130","283","231.6","41.8","337.0","+72.0"
"266","","Jesse James","PIT","TE32","7","133","285","234.4","39.8","302.0","+36.0"
"267","","Ka'imi Fairbairn","HOU","K18","10","143","290","247.9","45.5","264.0","-3.0"
"268","","Steven Hauschka","BUF","K19","11","145","316","266.1","56.9","304.0","+36.0"
"269","","Josh Lambo","JAC","K20","9","139","294","243.7","41.1","270.0","+1.0"
"270","","Adam Vinatieri","IND","K21","9","136","274","230.5","30.7","226.0","-44.0"
"271","","Dallas Goedert","PHI","TE33","9","111","302","235.8","47.4","262.0","-9.0"
"272","","Mack Hollins","PHI","WR92","9","130","369","237.5","59.8","436.0","+164.0"
"273","","Cordarrelle Patterson","NE","WR93","11","147","342","231.8","51.3","269.0","-4.0"
"274","","Cairo Santos","FA","K22","","151","316","259.6","56.2","340.0","+66.0"
"275","","Vernon Davis","WAS","TE34","4","138","279","227.7","31.3","280.0","+5.0"
"276","","Chase Edmonds","ARI","RB73","9","150","273","238.4","32.9","250.0","-26.0"
"277","","John Kelly","LAR","RB74","12","156","318","254.0","43.8","258.0","-19.0"
"278","","Washington (WAS)","","DST24","4","150","337","268.8","53.6","328.0","+50.0"
"279","","Tyler Boyd","CIN","WR94","9","117","302","245.3","47.9","379.0","+100.0"
"280","","Rod Smith","DAL","RB75","8","168","305","259.6","41.9","272.0","-8.0"
"281","","Jordan Matthews","FA","WR95","","155","386","237.5","53.2","236.0","-45.0"
"282","","Nick Vannett","SEA","TE35","7","160","298","232.8","44.7","313.0","+31.0"
"283","","Jeremy Maclin","FA","WR96","","126","276","235.8","39.4","330.0","+47.0"
"284","","San Francisco (SF)","","DST25","11","157","334","276.7","55.7","325.0","+41.0"
"285","","Tampa Bay (TB)","","DST26","5","148","333","267.8","51.6","331.0","+46.0"
"286","","Dallas (DAL)","","DST27","8","149","325","275.6","46.6","254.0","-32.0"
"287","","Cleveland (CLE)","","DST28","11","152","347","275.8","53.9","263.0","-24.0"
"288","","Virgil Green","LAC","TE36","8","137","291","229.6","38.5","334.0","+46.0"
"289","","Caleb Sturgis","LAC","K23","8","153","336","262.8","47.5","335.0","+46.0"
"290","","Adam Shaheen","CHI","TE37","5","157","310","226.8","58.0","267.0","-23.0"
"291","","Kevin White","CHI","WR97","5","159","350","258.1","54.7","318.0","+27.0"
"292","","Dustin Hopkins","WAS","K24","4","154","317","276.5","51.7","326.0","+34.0"
"293","","Phil Dawson","ARI","K25","9","155","320","277.0","52.7","322.0","+29.0"
"294","","Ryan Griffin","HOU","TE38","10","142","278","236.0","35.8","296.0","+2.0"
"295","","Blair Walsh","FA","K26","","156","335","260.2","59.7","",""
"296","","Bruce Ellington","HOU","WR98","10","145","299","217.0","63.3","432.0","+136.0"
"297","","Jonathan Stewart","NYG","RB76","9","175","308","254.0","37.6","257.0","-40.0"
"298","","Cody Parkey","CHI","K27","5","158","335","286.2","51.1","",""
"299","","Stephen Anderson","FA","TE39","","170","313","245.4","37.6","329.0","+30.0"
"300","","Christine Michael","IND","RB77","9","150","325","274.9","58.2","362.0","+62.0"
"301","","Josh Allen","BUF","QB32","11","175","311","254.5","49.3","297.0","-4.0"
"302","","Ameer Abdullah","DET","RB78","6","176","319","236.3","33.6","285.0","-17.0"
"303","","Chad Williams","ARI","WR99","9","165","305","266.6","41.4","376.0","+73.0"
"304","","C.J. Prosise","SEA","RB79","7","168","319","253.0","35.5","309.0","+5.0"
"305","","Seth Roberts","OAK","WR100","7","163","306","223.0","60.6","428.0","+123.0"
"306","","Jonnu Smith","TEN","TE40","8","164","276","236.0","43.4","341.0","+35.0"
"307","","Lamar Jackson","BAL","QB33","10","165","320","255.6","41.7","255.0","-52.0"
"308","","Kendall Wright","FA","WR101","","168","307","270.7","38.3","399.0","+91.0"
"309","","Laquon Treadwell","MIN","WR102","10","169","311","260.3","53.4","364.0","+55.0"
"310","","Trent Taylor","SF","WR103","11","170","287","257.9","31.2","350.0","+40.0"
"311","","Mike Davis","SEA","RB80","7","170","330","297.4","44.9","",""
"312","","Zay Jones","BUF","WR104","11","174","286","247.0","28.0","307.0","-5.0"
"313","","Jonathan Williams","NO","RB81","6","176","332","254.6","59.2","295.0","-18.0"
"314","","Jalen Richard","OAK","RB82","7","187","318","271.6","39.6","345.0","+31.0"
"315","","Curtis Samuel","CAR","WR105","4","189","302","260.1","34.2","292.0","-23.0"
"316","","Kenny Britt","FA","WR106","","179","373","260.0","40.7","347.0","+31.0"
"317","","Mark Walton","CIN","RB83","9","181","329","307.5","41.5","374.0","+57.0"
"318","","Baker Mayfield","CLE","QB34","11","182","312","270.9","39.2","235.0","-83.0"
"319","","Elijah McGuire","NYJ","RB84","11","184","317","262.5","33.1","290.0","-29.0"
"320","","Nick Foles","PHI","QB35","9","185","322","258.3","53.1","289.0","-31.0"
"321","","Corey Grant","JAC","RB85","9","189","291","242.7","28.3","320.0","-1.0"
"322","","Jordan Akins","HOU","TE41","10","191","266","228.5","37.5","380.0","+58.0"
"323","","J.J. Nelson","ARI","WR107","9","193","292","259.1","26.7","339.0","+16.0"
"324","","Mike Gillislee","NO","RB86","6","193","341","272.2","43.4","333.0","+9.0"
"325","","Taylor Gabriel","CHI","WR108","5","194","276","245.2","22.7","303.0","-22.0"
"326","","Travis Benjamin","LAC","WR109","8","195","285","247.4","24.6","283.0","-43.0"
"327","","Alfred Blue","HOU","RB87","10","199","344","282.7","46.3","365.0","+38.0"
"328","","Torrey Smith","CAR","WR110","4","200","304","262.1","28.7","338.0","+10.0"
"329","","Josh Hill","NO","TE42","6","206","225","214.3","7.9","",""
"330","","Jaylen Samuels","PIT","TE43","7","224","243","234.7","7.9","278.0","-52.0"
"331","","Jaron Brown","SEA","WR111","7","208","296","247.1","23.7","358.0","+27.0"
"332","","Jeremy Kerley","BUF","WR112","11","219","280","251.7","25.1","",""
"333","","Blake Jarwin","DAL","TE44","8","239","285","253.6","16.1","288.0","-45.0"
"334","","Ed Dickson","SEA","TE45","7","222","280","256.5","23.6","311.0","-23.0"
"335","","Brice Butler","FA","WR113","","205","307","257.7","31.9","349.0","+14.0"
"336","","D.J. Chark","JAC","WR114","9","206","309","259.5","33.7","300.0","-36.0"
"337","","Chester Rogers","IND","WR115","9","203","289","260.4","29.7","308.0","-29.0"
"338","","Jakeem Grant","MIA","WR116","11","205","382","261.8","70.5","221.0","-117.0"
"339","","Garrett Celek","SF","TE46","11","207","296","262.6","27.0","317.0","-22.0"
"340","","Josh McCown","NYJ","QB36","11","219","314","267.0","31.9","344.0","+4.0"
"341","","Equanimeous St. Brown","GB","WR117","7","262","285","270.0","10.6","414.0","+73.0"
"342","","Adam Humphries","TB","WR118","5","231","297","270.3","28.4","353.0","+11.0"
"343","","Nathan Peterman","BUF","QB37","11","218","305","271.7","32.1","426.0","+83.0"
"344","","Tyler Higbee","LAR","TE47","12","251","308","272.3","22.0","400.0","+56.0"
"345","","J'Mon Moore","GB","WR119","7","264","281","272.5","8.5","312.0","-33.0"
"346","","Mark Andrews","BAL","TE48","10","244","326","272.7","37.7","266.0","-80.0"
"347","","Tavon Austin","DAL","WR120","8","226","305","273.2","24.7","284.0","-63.0"
"348","","Teddy Bridgewater","NO","QB38","6","245","305","275.0","30.0","411.0","+63.0"
"349","","Chris Conley","KC","WR121","12","247","304","275.5","28.5","",""
"350","","Joe Williams","FA","RB88","","238","332","275.5","32.1","323.0","-27.0"
"351","","Kyle Juszczyk","SF","RB89","11","214","325","280.5","29.8","440.0","+89.0"
"352","","Ryan Fitzpatrick","TB","QB39","5","237","317","281.0","33.1","355.0","+3.0"
"353","","Josh Rosen","ARI","QB40","9","232","315","281.4","31.5","293.0","-60.0"
"354","","DeAndre Washington","OAK","RB90","7","208","319","282.6","31.7","391.0","+37.0"
"355","","Keke Coutee","HOU","WR122","10","241","304","282.7","20.9","310.0","-45.0"
"356","","Brett Maher","DAL","K28","8","219","312","283.4","33.1","386.0","+30.0"
"357","","Brandon LaFell","OAK","WR123","7","246","359","284.8","41.1","361.0","+4.0"
"358","","Jacquizz Rodgers","TB","RB91","5","201","332","290.2","39.6","354.0","-4.0"
"359","","Cody Latimer","NYG","WR124","9","243","375","290.7","59.8","377.0","+18.0"
"360","","New York (NYJ)","","DST29","11","229","391","291.6","59.1","316.0","-44.0"
"361","","Boston Scott","NO","RB92","6","229","329","291.9","37.6","375.0","+14.0"
"362","","Sebastian Janikowski","SEA","K29","7","278","308","293.0","15.0","336.0","-26.0"
"363","","Charles Sims","FA","RB93","","244","327","293.9","23.2","332.0","-31.0"
"364","","Travaris Cadet","FA","RB94","","261","319","299.3","20.7","301.0","-63.0"
"365","","Phillip Lindsay","DEN","RB95","10","250","325","299.7","35.1","359.0","-6.0"
"366","","Jermaine Gresham","ARI","TE49","9","268","338","303.0","35.0","",""
"367","","Terrance West","FA","RB96","","230","396","303.5","43.2","434.0","+67.0"
"368","","Jeff Heuerman","DEN","TE50","10","255","385","303.7","57.9","404.0","+36.0"
"369","","De'Angelo Henderson","NYJ","RB97","11","244","328","305.0","25.3","",""
"370","","Demetrius Harris","KC ","TE51","12","286","324","305.0","19.0","",""
"371","","Seth DeValve","CLE","TE52","11","290","320","305.0","15.0","",""
"372","","Thomas Rawls","FA","RB98","","203","333","306.4","44.0","405.0","+33.0"
"373","","Justin Jackson","FA","RB99","","253","326","307.0","23.0","327.0","-46.0"
"374","","Chris Herndon IV","NYJ","TE53","11","252","365","308.5","56.5","",""
"375","","Breshad Perriman","FA","WR125","","228","393","310.5","82.5","",""
"376","","Cameron Artis-Payne","CAR","RB100","4","238","330","311.2","33.0","305.0","-71.0"
"377","","Demarcus Robinson","KC","WR126","12","245","378","311.5","66.5","",""
"378","","Robert Turbin","IND ","RB101","9","265","328","312.4","18.2","360.0","-18.0"
"379","","Carlos Henderson","DEN","WR127","10","270","356","313.0","43.0","",""
"380","","Orleans Darkwa","FA","RB102","","260","331","314.7","24.3","372.0","-8.0"
"381","","ArDarius Stewart","NYJ ","WR128","11","252","380","316.0","64.0","",""
"382","","Keith Smith","OAK","RB103","7","309","326","317.0","7.0","",""
"383","","Chris Moore","BAL","WR129","10","265","377","321.0","56.0","",""
"384","","Chandler Catanzaro","TB","K30","5","275","384","322.2","35.0","396.0","+12.0"
"385","","Amara Darboh","NE","WR130","11","293","357","325.0","32.0","",""
"386","","Ito Smith","ATL","RB104","8","313","340","328.0","9.7","",""
"387","","Malcolm Brown","LAR","RB105","12","318","339","328.0","8.6","315.0","-72.0"
"388","","Damien Williams","KC","RB106","12","314","343","328.5","10.3","",""
"389","","Darrel Williams","KC","RB107","12","329","333","331.0","2.0","",""
"390","","Marcus Murphy","BUF","RB108","11","277","387","332.0","55.0","384.0","-6.0"
"391","","Oakland (OAK)","","DST30","7","319","346","332.5","13.5","368.0","-23.0"
"392","","Miami (MIA)","","DST31","11","321","366","343.5","22.5","346.0","-46.0"
""
""